ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模
5144339,重庆云易行网络科技有限责任公司,python工程师（重庆总部）,大专,3-5年,8k-15k,"六险一金,全勤奖,带薪年假,绩效奖金","后端,算法,爬虫","金融,移动互联网",未融资,150-500人
5221319,重庆讯云网络科技有限公司,python工程师,本科,3-5年,8k-15k,"职位晋升,靠谱团队,周末双休,弹性工作",后端,数据服务,未融资,150-500人
5344137,重庆大邻盟科技有限公司,go,大专,不限,9k-15k,涨薪快，福利好，团建频繁,"后端,Golang",O2O,天使轮,15-50人
5056998,北京中位科技有限公司重庆分公司,大数据开发工程师,本科,3-5年,10k-20k,"五险一金,周末双休,零食饮料,健身","Spark,数据分析,Hadoop,数据处理","移动互联网,数据服务",不需要融资,50-150人
5268292,重庆邂智科技有限公司,前端工程师,本科,3-5年,6k-12k,五险一金、带薪年假、周末双休、补助,前端开发,移动互联网,A轮,15-50人
5159483,重庆紫光华山智安科技有限公司,算法工程师,本科,3-5年,15k-25k,"技术大牛,团队氛围,薪资福利优","图像处理,深度学习",人工智能、生活服务,不需要融资,500-2000人
5316063,北京奇艺世纪科技有限公司,运维开发工程师-校招,本科,应届毕业生,4k-8k,"开发,与大咖共事",,"广告营销,文化娱乐",上市公司,2000人以上
5117396,重庆誉存大数据科技有限公司,大数据开发工程师,本科,1-3年,8k-16k,"五险一金,周末双休,大数据,顶级团队","Hadoop,Spark,Scala,Storm",金融,A轮,50-150人
5293360,深圳天宏迅联科技发展有限公司,业务运维工程师,本科,3-5年,6k-12k,"氛围轻松,福利多多,弹性工作,高额期权","Openstack,系统运维,监控","移动互联网,电子商务",A轮,50-150人
5332498,中冶赛迪重庆信息技术有限公司,机器视觉系统开发工程师,本科,1-3年,10k-15k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人
4850269,重庆忽米网络科技有限公司,高级JAVA工程师,本科,5-10年,12k-15k,"五险一金,周末双休,绩效奖金,餐补话补",,"电子商务,移动互联网",未融资,2000人以上
4271105,特斯联（北京）科技有限公司,PHP开发工程师,本科,3-5年,10k-15k,"五险一金,签劳动合同,大平台,有保障","Java,MySQL","移动互联网,硬件",B轮,150-500人
3841995,铁皮（重庆）网络科技有限公司,全栈开发工程师,本科,3-5年,8K-12K,我们期待做一个汽车类的星巴克空间,"软件开发,SAAS",生活服务,未融资,少于15人
2211812,重庆允升科技有限公司,JavaScript,本科,3-5年,10k-18k,平台大 福利好 大牛多 技术氛围好,HTML,"电子商务,企业服务",A轮,50-150人
5302311,深算科技（重庆）有限公司,AI-算法工程师,大专,不限,5k-8k,AI、算法工程师,人工智能,"数据服务,硬件",未融资,15-50人
5293369,深圳天宏迅联科技发展有限公司,运维工程师,本科,5-10年,8k-16k,"氛围轻松,福利多多,弹性工作,高额期权","系统运维,网络安全,监控","移动互联网,电子商务",A轮,50-150人
5344178,重庆大邻盟科技有限公司,后端开发,大专,不限,9k-15k,涨薪快，福利好，团建频繁,"GO,Golang",O2O,天使轮,15-50人
