ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模,岗位职责和任职要求
5144339,重庆云易行网络科技有限责任公司,python工程师（重庆总部）,大专,3-5年,8k-15k,"六险一金,全勤奖,带薪年假,绩效奖金","后端,算法,爬虫","金融,移动互联网",未融资,150-500人,岗位职责：1、负责公司智能风控平台架构设计，开发与维护；2、负责算法设计，提升代码处理效率；3、进行程序单元、功能的测试。任职要求：1、本科及以上学历，计算机、金融工程，数学等相关专业；2年以上Python开发经验；2、有用python进行过数据分析或是爬虫程序开发经验；3、熟练使用MongoDB，Mysql，neo4j等图数据库；4、对数据结构、程序设计与算法分析有较深的功底。
5221319,重庆讯云网络科技有限公司,python工程师,本科,3-5年,8k-15k,"职位晋升,靠谱团队,周末双休,弹性工作",后端,数据服务,未融资,150-500人,"职责描述：1．参与公司核心系统项目的开发工作；2．能够根据项目的实际需要，进行技术方案的分析、选型；3．保证系统稳健，代码质量，持续提供改进性建议并且实施。任职要求：1. 本科以上学历，3年以上相关工作经验;2. 良好的英文读写能力；3. 精通Python脚本语言，有独立设计网页架构并实现的经验；4. 熟练Linux开发环境,有良好编程习惯和文档编写习惯；5. 在工作中具有主动性，具备良好的学习能力，开创性思维和应变能力"
5344137,重庆大邻盟科技有限公司,go,大专,不限,9k-15k,涨薪快，福利好，团建频繁,"后端,Golang",O2O,天使轮,15-50人,"岗位职责： 1-负责平台研发工作（PC、API）； 2-平台高可用、高性能服务架构设计与调优； 技能要求: 1-丰富的web系统设计开发经验，熟悉常用设计模式； 2-熟悉GOlang,至少熟悉一种web框架：gin、beego、echo、 3-至少熟悉一种其它服务端脚本语言，如Python、PHP、Nodejs等； 4-优秀的数据库设计优化能力，Mysql和MongoDB至少精通其中一种，熟悉redis优先； 熟悉linux常用bash命令； 5-较强的逻辑思维能力，较强的产品意识，良好的沟通协调能力，良好的团队合作精神； 6-具备良好的团队合作精神，高度的责任感，善于沟通，为人踏实，抗压能力强，拥有严谨的工作态度；"
5056998,北京中位科技有限公司重庆分公司,大数据开发工程师,本科,3-5年,10k-20k,"五险一金,周末双休,零食饮料,健身","Spark,数据分析,Hadoop,数据处理","移动互联网,数据服务",不需要融资,50-150人,任职资格：1、计算机相关专业本科及以上学历； 2、熟悉Hadoop、HDFS，MapReduce，Hive等开源分布式系统； 3、熟悉Spark、SparkSQL、SparkStreaming、Storm等框架；4、熟悉python、shell、java等中的1种以上 ；5、3年以上工作经验，至少有1年大数据开发或分析经验； 6、有持续学习的能力；喜欢开源软件，乐于知识分享；对工作认真负责；可以独立承担较大工作压力；7、有物联网经验优先。 岗位职责：1、使用大数据相关的技术(Hive、hadoop、hdfs）解决业务相关问题； 2、理解 HDFS 体系架构，并能给予Hive、HDFS、python、R、Spark、Zeus等工具构建离线系统； 3、利用大数据平台实现对数据的分析和处理； 4、负责各类离线系统的业务调研，并与公司其他部门负责沟通协调；5、负责离线系统中数据处理工作（数据采集、清洗、汇总、集成等）；6、负责协助完成离线系统中数据上下层衔接处理工作； 7、负责各类离线系统的开发、部署等工作； 8、负责各种高并发场景解决方案；8、具有良好的逻辑思维能力，可以独立承担工作压力，善于学习，与团队沟通无障碍 。
5268292,重庆邂智科技有限公司,前端工程师,本科,3-5年,6k-12k,五险一金、带薪年假、周末双休、补助,前端开发,移动互联网,A轮,15-50人,职责描述：1、负责产品的前端的技术方案选型与设计； 2、Web前端表现层及与后端交互的设计和开发； 3、对用户体验和前端性能有很敏感的把控和优化手段，解决各种浏览器的兼容性问题 ； 4、具有文档撰写、code reivew和单元测试，确保项目的进度和质量能力； 5、注前端前沿技术研究，通过新技术服务团队和业务； 任职要求：1、精通各种Web前端技术和标准(Javascript/ES6、HTML/HTML5、CSS/CSS3)，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解； 2、具备React/Vue.js/AngularJS等至少一种主流前端框架的使用经验，熟悉前端常见工具库和框架，熟练掌握NodeJS、webpack、gulp、less、sass等前端开发工具，对于前端性能、前端安全、自动化测试等有实际应用或处理经验； 3、对前端工程化与模块化开发有一定了解; 4、熟悉一门非前端的语言（如Java/C#/PHP/C/C++/Python/Ruby），并有实践经验尤佳； 5、具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力； 6、对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力，良好的沟通表达能力和团队协作能力。
5159483,重庆紫光华山智安科技有限公司,算法工程师,本科,3-5年,15k-25k,"技术大牛,团队氛围,薪资福利优","图像处理,深度学习",人工智能、生活服务,不需要融资,500-2000人,工作职责： 1、负责安防方向图像、机器学习和深度学习算法的研发和相关工作； 2、图像内容识别、物体检测和跟踪、图像语义分割等模型研发； 3、推动算法在实际应用领域的性能优化和落地。 任职要求： 1、知名院校优秀本科生及硕士以上学历，数学、物理、计算机视觉、信号处理、自动控制等专业优先； 2、具有扎实的数学、模式识别、计算机视觉、图像处理理论基础和软件编程经验； 3、在学校从事过数学、图像、机器学习方向课题研究和相关比赛经验者优先； 4、精通C/C++/Python开发语言编程； 5、英语较好，能直接阅读英文科技论文； 6、肯干事、能吃苦。有较强自主学习和动手能力、及时跟进业界技术更新，良好的分析问题、解决问题、团队沟通能力.
5316063,北京奇艺世纪科技有限公司,运维开发工程师-校招,本科,应届毕业生,4k-8k,"开发,与大咖共事",,"广告营销,文化娱乐",上市公司,2000人以上,工作内容1、参与内部装机系统开发；2、参与内部网络自动化系统开发；3、参与内部流量分析系统开发；4、以上系统主要用到 golang、vue、css、html、bootstrap等技术。 岗位要求1、了解开源项目，使用过Git/Github；2、使用过Python，golang；3、熟悉CSS、HTML、JS，了解相关前端框架（VUE、React）；4、熟悉linux系统和ANSIBLE自动化部署，熟悉容器技术更佳5、学习能力强，自我驱动。工作时间9:00-18:00  周末双休
5117396,重庆誉存大数据科技有限公司,大数据开发工程师,本科,1-3年,8k-16k,"五险一金,周末双休,大数据,顶级团队","Hadoop,Spark,Scala,Storm",金融,A轮,50-150人,       1、 负责大数据的清洗，存储和管理工作；    2、 负责大数据项目的开发、维护工作；    3、 负责大数据平台各组件的性能优化工作；    4、 负责设计、开发文档的编写工作。        1、计算机相关专业，1年以上相关工作经验；    2、熟悉Hadoop、Spark、Storm、Neo4J、Kafka等框架组件，深刻理解分布式数据处理技术原理；    3、熟练掌握Python，GO，Scala等语言中的一种；    4、熟悉Linux系统和Shell脚本语言；    5、熟悉至少一种关系型数据库；    6、熟悉至少一种web框架；    7、熟悉Neo4J开发者优先。
5293360,深圳天宏迅联科技发展有限公司,业务运维工程师,本科,3-5年,6k-12k,"氛围轻松,福利多多,弹性工作,高额期权","Openstack,系统运维,监控","移动互联网,电子商务",A轮,50-150人,职位要求1.负责业务系统的上线架构设计、环境搭建、部署、管理及故障处理保障生产业务正常运行；2.负责开发、测试和生产环境的业务系统的日常维护和管理工作；3.负责各类故障和事务的应急响应和技术支持；4.负责编写并持续完善系统运维手册、部署文档、性能参数说明，有良好的工作流程和文档制定撰写习惯；5.负责所有业务平台的性能优化和安全加固工作；6.负责数据备份、数据监控、应急响应、故障排除、编写数据分析报告等。任职资格1、熟悉各种Linux发行版本，精通linux各种常用的服务的运用；2、精通Shell或Python等编程脚本 ，至少精通一门编程语言；3、精通Linux操作系统的维护及日常管理工作，具备服务性能调优、安全监测、故障处理能力；4、熟悉Nginx、HAproxy、keepalived、lvs的安装配置调优；5、熟悉互联网基础组件MySQL、MongoDB、Redis、Zookpeer、Kafka的安装配置调优；6、熟悉常用CI/CD工具jenkins、gitlab-ci优先；7、熟悉ELK等开源日志平台的建设；8、熟悉运维工具:zabbix、ansible、saltstack；9、3年以上大型平台运维工作经验。
5332498,中冶赛迪重庆信息技术有限公司,机器视觉系统开发工程师,本科,1-3年,10k-15k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人,1、根据机器视觉产品需求，选择合适的相机、光源、镜头和防护，制定相应光学方案；2、负责机器视觉产品电气部分的开发设计，保证图像的采集和传输。3、指导现场视觉部分的安装和技术确认，参与系统调试和程序编制。4、参与视觉项目可行性研究、分析及计划的制定。1、机器视觉或相关工作经验优先考虑，了解常规电控系统中的通信方法和原理。2、熟悉autocad，solidworks等，能进行电气图纸设计和简单的机械设计。3、熟练掌握c++和python语言，有相关的项目开发经历，有windows和linux开发经验；4、熟悉PLC控制和工业控制系统开发，有自动化设备软件开发经验者优先。
